iter	Logloss_SumError	Logloss_SumWeight
0	200846.6652	319377
1	187142.5612	319377
2	175345.2325	319377
3	166671.9325	319377
4	160014.9733	319377
5	155612.5997	319377
6	152080.5896	319377
7	149292.1194	319377
8	146221.1984	319377
9	144143.185	319377
10	142120.605	319377
11	141130.8916	319377
12	140115.2851	319377
13	138868.3412	319377
14	138074.9908	319377
15	136915.2881	319377
16	136004.6415	319377
17	134807.9184	319377
18	134279.6065	319377
19	133648.6475	319377
20	132778.361	319377
21	132234.1045	319377
22	131803.1525	319377
23	131557.1758	319377
24	130851.1216	319377
25	130216.1025	319377
26	130007.1385	319377
27	129686.9209	319377
28	129224.1097	319377
29	128788.8208	319377
30	128471.6004	319377
31	128176.356	319377
32	128027.7202	319377
33	127590.3935	319377
34	127226.2167	319377
35	127160.181	319377
36	127017.0395	319377
37	126949.5851	319377
38	126521.1208	319377
39	126421.804	319377
40	126094.4153	319377
41	125813.3482	319377
42	125564.8774	319377
43	125332.833	319377
44	125040.2044	319377
45	124732.9607	319377
46	124631.0537	319377
47	124453.4436	319377
48	124147.0593	319377
49	123976.4736	319377
50	123910.6828	319377
51	123801.5726	319377
52	123694.2625	319377
53	123626.5888	319377
54	123480.4537	319377
55	123445.2676	319377
56	123296.4428	319377
57	123207.5273	319377
58	123111.8714	319377
59	123048.8671	319377
60	122944.6378	319377
61	122872.9641	319377
62	122821.8398	319377
63	122625.6813	319377
64	122597.7564	319377
65	122490.6713	319377
66	122453.767	319377
67	122400.4885	319377
68	122336.547	319377
69	122239.5548	319377
70	122080.4328	319377
71	122050.5433	319377
72	121976.4137	319377
73	121912.4911	319377
74	121869.1696	319377
75	121846.1836	319377
76	121771.3467	319377
77	121696.4139	319377
78	121495.7442	319377
79	121369.1833	319377
80	121312.0503	319377
81	121289.6103	319377
82	121213.9625	319377
83	121188.7671	319377
84	121160.801	319377
85	121099.9639	319377
86	121078.8949	319377
87	120990.319	319377
88	120912.8648	319377
89	120882.9328	319377
90	120846.3164	319377
91	120781.2984	319377
92	120751.6985	319377
93	120671.9026	319377
94	120606.9366	319377
95	120503.7116	319377
96	120478.4722	319377
97	120454.8731	319377
98	120406.3221	319377
99	120374.4194	319377
100	120360.157	319377
101	120337.545	319377
102	120249.0262	319377
103	120184.1945	319377
104	120117.8574	319377
105	120092.2707	319377
106	120055.9426	319377
107	120031.0219	319377
108	120014.1822	319377
109	119971.112	319377
110	119944.3271	319377
111	119931.3001	319377
112	119898.8255	319377
113	119813.8211	319377
114	119785.8245	319377
115	119774.4261	319377
116	119697.8514	319377
117	119687.3926	319377
118	119638.6105	319377
119	119612.8141	319377
120	119578.5397	319377
121	119562.2486	319377
122	119399.2424	319377
123	119388.0455	319377
124	119350.9785	319377
125	119325.186	319377
126	119253.975	319377
127	119191.5956	319377
128	119174.7723	319377
129	119154.8602	319377
130	119108.5175	319377
131	119088.5585	319377
132	119060.9875	319377
133	119050.2251	319377
134	118918.2596	319377
135	118859.3425	319377
136	118820.7146	319377
137	118782.5807	319377
138	118766.024	319377
139	118709.9244	319377
140	118646.5083	319377
141	118635.9516	319377
142	118589.2834	319377
143	118560.9103	319377
144	118522.6619	319377
145	118509.5616	319377
146	118490.4571	319377
147	118469.3308	319377
148	118452.5556	319377
149	118444.4121	319377
150	118393.5925	319377
151	118372.6792	319377
152	118336.6864	319377
153	118308.9643	319377
154	118268.2984	319377
155	118228.0756	319377
156	118202.2679	319377
157	118155.2659	319377
158	118146.2969	319377
159	118097.2773	319377
160	118074.8734	319377
161	118021.449	319377
162	118004.045	319377
163	117941.9136	319377
164	117927.6651	319377
165	117881.7704	319377
166	117864.9937	319377
167	117834.3012	319377
168	117821.7339	319377
169	117801.6068	319377
170	117787.7508	319377
171	117775.9846	319377
172	117722.7753	319377
173	117715.9626	319377
174	117665.321	319377
175	117656.5255	319377
176	117636.1783	319377
177	117591.7778	319377
178	117578.0794	319377
179	117568.7496	319377
180	117531.1136	319377
181	117519.2865	319377
182	117503.0581	319377
183	117496.2494	319377
184	117459.246	319377
185	117449.6215	319377
186	117431.7895	319377
187	117374.131	319377
188	117362.334	319377
189	117317.5381	319377
190	117296.704	319377
191	117271.8991	319377
192	117253.9947	319377
193	117244.7017	319377
194	117224.9502	319377
195	117210.2811	319377
196	117148.4586	319377
197	117120.5939	319377
198	117102.3901	319377
199	117086.9631	319377
200	117050.8472	319377
201	117039.2982	319377
202	117029.5834	319377
203	117018.2475	319377
204	116994.8782	319377
205	116929.468	319377
206	116919.9117	319377
207	116902.3932	319377
208	116880.7964	319377
209	116867.0619	319377
210	116855.5491	319377
211	116829.9972	319377
212	116760.4579	319377
213	116742.3921	319377
214	116727.2763	319377
215	116687.1013	319377
216	116678.4373	319377
217	116664.7052	319377
218	116634.2614	319377
219	116614.5378	319377
220	116555.5597	319377
221	116535.3205	319377
222	116520.1917	319377
223	116492.366	319377
224	116481.1652	319377
225	116408.9628	319377
226	116395.816	319377
227	116384.591	319377
228	116373.9467	319377
229	116361.5178	319377
230	116344.2685	319377
231	116330.6846	319377
232	116324.0547	319377
233	116299.7839	319377
234	116287.1083	319377
235	116268.3261	319377
236	116244.4831	319377
237	116236.0105	319377
238	116191.9812	319377
239	116175.1121	319377
240	116160.1689	319377
241	116154.9272	319377
242	116146.5739	319377
243	116138.9932	319377
244	116113.8957	319377
245	116095.4557	319377
246	116081.1595	319377
247	116043.9719	319377
248	116018.3444	319377
249	116004.1888	319377
250	115978.1994	319377
251	115958.8224	319377
252	115952.441	319377
253	115938.6739	319377
254	115904.7436	319377
255	115869.2738	319377
256	115857.0792	319377
257	115829.4433	319377
258	115823.326	319377
259	115808.192	319377
260	115791.9905	319377
261	115780.507	319377
262	115763.7146	319377
263	115740.5272	319377
264	115733.9339	319377
265	115727.3771	319377
266	115692.6863	319377
267	115685.348	319377
268	115671.9177	319377
269	115649.224	319377
270	115637.6403	319377
271	115627.009	319377
272	115616.0692	319377
273	115604.4345	319377
274	115585.9193	319377
275	115574.7957	319377
276	115566.333	319377
277	115557.0935	319377
278	115548.9688	319377
279	115515.301	319377
280	115499.3399	319377
281	115489.7788	319377
282	115476.2173	319377
283	115465.1874	319377
284	115424.8946	319377
285	115420.9485	319377
286	115404.0542	319377
287	115386.9775	319377
288	115362.5941	319377
289	115344.3155	319377
290	115331.5515	319377
291	115323.6139	319377
292	115311.781	319377
293	115302.7131	319377
294	115277.3437	319377
295	115270.6632	319377
296	115258.8959	319377
297	115246.7932	319377
298	115243.7773	319377
299	115235.6312	319377
