iter	Passed	Remaining
0	109	32694
1	211	31545
2	318	31520
3	425	31484
4	555	32777
5	662	32485
6	768	32178
7	880	32147
8	989	32005
9	1097	31816
10	1213	31891
11	1319	31675
12	1427	31519
13	1538	31434
14	1645	31265
15	1757	31190
16	1869	31123
17	1976	30962
18	2082	30797
19	2194	30725
20	2302	30588
21	2407	30421
22	2515	30290
23	2624	30182
24	2731	30047
25	2838	29916
26	2944	29776
27	3072	29846
28	3195	29861
29	3312	29813
30	3425	29720
31	3533	29589
32	3642	29471
33	3750	29340
34	3855	29192
35	3964	29069
36	4080	29004
37	4192	28907
38	4306	28817
39	4426	28771
40	4540	28681
41	4673	28707
42	4778	28558
43	4914	28594
44	5022	28461
45	5136	28361
46	5244	28230
47	5348	28077
48	5455	27946
49	5564	27821
50	5675	27711
51	5777	27552
52	5886	27432
53	5993	27305
54	6102	27184
55	6205	27037
56	6313	26917
57	6419	26784
58	6524	26652
59	6627	26509
60	6733	26382
61	6844	26275
62	6950	26148
63	7060	26034
64	7164	25900
65	7266	25763
66	7373	25641
67	7478	25514
68	7594	25426
69	7704	25313
70	7816	25212
71	7931	25117
72	8038	24994
73	8141	24864
74	8252	24756
75	8358	24636
76	8468	24525
77	8576	24410
78	8690	24311
79	8805	24216
80	8918	24114
81	9027	23999
82	9124	23855
83	9226	23724
84	9355	23664
85	9480	23592
86	9591	23483
87	9701	23371
88	9820	23281
89	9949	23215
90	10065	23118
91	10172	22999
92	10287	22898
93	10411	22817
94	10542	22748
95	10656	22644
96	10763	22524
97	10885	22436
98	11003	22340
99	11121	22243
100	11233	22132
101	11348	22029
102	11475	21949
103	11618	21897
104	11778	21874
105	11902	21784
106	12019	21679
107	12134	21572
108	12251	21467
109	12365	21357
110	12474	21241
111	12588	21130
112	12696	21011
113	12805	20893
114	12918	20781
115	13034	20675
116	13143	20558
117	13251	20438
118	13355	20313
119	13462	20193
120	13590	20105
121	13702	19992
122	13807	19870
123	13922	19760
124	14035	19649
125	14139	19526
126	14249	19411
127	14359	19295
128	14465	19175
129	14571	19054
130	14684	18943
131	14793	18828
132	14903	18713
133	15016	18602
134	15125	18486
135	15237	18374
136	15344	18256
137	15452	18140
138	15555	18017
139	15658	17895
140	15765	17778
141	15870	17658
142	15982	17547
143	16092	17433
144	16197	17314
145	16309	17203
146	16417	17087
147	16524	16971
148	16630	16853
149	16736	16736
150	16848	16625
151	16955	16509
152	17067	16397
153	17173	16281
154	17277	16162
155	17383	16046
156	17512	15950
157	17620	15836
158	17730	15723
159	17844	15613
160	17955	15502
161	18063	15387
162	18171	15272
163	18276	15155
164	18386	15043
165	18513	14944
166	18638	14844
167	18756	14737
168	18866	14624
169	18978	14512
170	19083	14396
171	19192	14282
172	19306	14172
173	19420	14063
174	19526	13947
175	19634	13833
176	19746	13722
177	19860	13612
178	19970	13499
179	20080	13387
180	20191	13275
181	20305	13165
182	20417	13053
183	20554	12958
184	20681	12855
185	20803	12750
186	20913	12637
187	21024	12525
188	21134	12412
189	21240	12297
190	21346	12182
191	21459	12070
192	21597	11973
193	21714	11864
194	21823	11751
195	21937	11640
196	22043	11525
197	22151	11411
198	22259	11297
199	22366	11183
200	22467	11065
201	22563	10946
202	22664	10829
203	22763	10712
204	22867	10597
205	22968	10480
206	23070	10365
207	23172	10249
208	23272	10133
209	23376	10018
210	23472	9900
211	23577	9786
212	23678	9671
213	23786	9558
214	23890	9445
215	23990	9329
216	24091	9214
217	24194	9100
218	24298	8987
219	24406	8874
220	24511	8761
221	24618	8649
222	24723	8536
223	24826	8423
224	24930	8310
225	25043	8199
226	25164	8092
227	25281	7983
228	25410	7878
229	25527	7769
230	25637	7658
231	25746	7546
232	25852	7433
233	25956	7320
234	26062	7208
235	26169	7096
236	26272	6983
237	26383	6872
238	26491	6761
239	26592	6648
240	26707	6538
241	26817	6427
242	26924	6315
243	27030	6203
244	27132	6090
245	27236	5978
246	27342	5867
247	27449	5755
248	27554	5643
249	27669	5533
250	27776	5422
251	27886	5311
252	27992	5200
253	28097	5088
254	28202	4976
255	28304	4864
256	28409	4753
257	28518	4642
258	28623	4531
259	28728	4419
260	28837	4308
261	28943	4197
262	29049	4086
263	29152	3975
264	29258	3864
265	29389	3756
266	29501	3646
267	29612	3535
268	29728	3426
269	29883	3320
270	30010	3211
271	30146	3103
272	30271	2993
273	30389	2883
274	30513	2773
275	30633	2663
276	30750	2553
277	30861	2442
278	30984	2332
279	31108	2222
280	31223	2111
281	31336	2000
282	31448	1889
283	31559	1777
284	31670	1666
285	31775	1555
286	31883	1444
287	31982	1332
288	32095	1221
289	32205	1110
290	32315	999
291	32421	888
292	32530	777
293	32633	665
294	32744	554
295	32851	443
296	32961	332
297	33070	221
298	33179	110
299	33290	0
