pitch_tag,season,p1,p99
CH,2021,-0.020795778423723026,-0.003908566863552021
CH,2022,-0.02267908011554686,0.0007431410403717952
CH,2023,-0.021698646974011526,-0.0043339351957090025
CH,2024,-0.02074459191180166,-0.004689920156475428
CH,2025,-0.02009680547870788,-0.005419178857120714
CU,2021,-0.02069896234130117,-0.007235688022211947
CU,2022,-0.05324888223645701,-0.005432841375514131
CU,2023,-0.022559469467779678,-0.009717561101151474
CU,2024,-0.021098406686192676,-0.008956762635727398
CU,2025,-0.021988664820632654,-0.007135295426995541
FA,2021,-0.019940657795341883,-0.004097164872911731
FA,2022,-0.020446550407136343,-0.0016842300613049833
FA,2023,-0.0205802277197702,-0.004607598895565954
FA,2024,-0.018680958781526955,-0.004835149136946158
FA,2025,-0.019317022832027023,-0.004764917850031181
FS,2021,-0.018535685483677573,-0.007864712925872794
FS,2022,-0.021904146886329023,-0.0017858124920323648
FS,2023,-0.01618111866783338,-0.005655714767751551
FS,2024,-0.019185289449550055,-0.00790778472190691
FS,2025,-0.017763098349256944,-0.005355195783220917
HC,2021,-0.02694636581555191,-0.01567682692230964
HC,2022,-0.029702716380221872,-0.014505023843948384
HC,2023,-0.02514334084717598,-0.012929870241480183
HC,2024,-0.027750509793023896,-0.00967911577977761
HC,2025,-0.027533015351371728,-0.00926390122812996
SI,2021,-0.02724415892824389,-0.010279816094757583
SI,2022,-0.030908189588793312,-0.0076161418073862055
SI,2023,-0.029261695223440024,-0.011171215899701622
SI,2024,-0.029623979070255175,-0.01124427973602338
SI,2025,-0.02943481967839796,-0.013127315760618706
SL,2021,-0.019100991968626826,-0.005106383404943581
SL,2022,-0.019741552293513105,-0.0056896963462440215
SL,2023,-0.02023072397238905,-0.007182278743791415
SL,2024,-0.019079125611736216,-0.0073497957407355615
SL,2025,-0.0197491462798002,-0.008273894262227669
SP,2022,-0.024158924130351898,-0.024158924130351898
SP,2023,-0.02550282103345396,-0.009169343017845236
SP,2024,-0.029548030154767934,-0.01425049731385732
SP,2025,-0.02979511154615306,-0.008069486608217312
SW,2021,-0.021696412941973536,-0.0034123712618922193
SW,2022,-0.025771272630577893,0.024723860009324024
SW,2023,-0.020874132997797834,-0.003735642249183952
SW,2024,-0.020067003595344166,-0.0028418671182619077
SW,2025,-0.02139226587761232,-0.006264374713286495
XX,2023,-0.017051373234335598,-0.017051373234335598
XX,2024,-0.015617635275567596,-0.010025537448800808
